Text,label
The rush of anxiety can make it feel like I'm in freefall.,non-target
I'm paralyzed with fear and can't move.,non-target
The challenge is to find ways to channel intense emotions into positive actions.,non-target
I'm worried about not being able to manage my anxiety.,Anxiety Disorder
"Some days, my mind feels like a whirlwind of 'what-ifs' and uncertainties.",Anxiety Disorder
I feel like I'm being consumed by an overwhelming darkness.,non-target
Trying to navigate conversations when emotions run high.,non-target
My anger is like a fire that burns me from the inside.,non-target
I'm worried about the long-term impact of chronic anxiety.,Anxiety Disorder
im having a miley nite no sleeping boo,non-target
Isolation can feel like both a comfort and a curse.,non-target
I'm constantly berating myself for my perceived failures.,non-target
I'm worried that my anxiety is making me miss out on opportunities.,Anxiety Disorder
Trying to find outlets for emotional energy that won't cause harm.,non-target
I feel so empty inside.,non-target
I'm constantly imagining worst-case scenarios.,Anxiety Disorder
"Even when everything's okay, my mind can convince me otherwise.",non-target
"Feeling like I'm walking on a tightrope, one misstep away from disaster.",Anxiety Disorder
The constant worry can feel like a storm cloud hanging over me.,Anxiety Disorder
I'm always anticipating the next source of stress.,Anxiety Disorder
I feel like I'm carrying the weight of the world on my shoulders.,non-target
Feeling like I'm on a roller coaster of emotions that won't slow down.,Anxiety Disorder
I'm worried about the impact of my anxiety on my relationships.,Anxiety Disorder
I'm tired of feeling so out of control when I get angry.,non-target
"Even when everything's okay, my mind can convince me otherwise.",Anxiety Disorder
I'm struggling to find a way to calm my racing thoughts.,non-target
I'm avoiding situations that might make me feel vulnerable or exposed.,Anxiety Disorder
is depressed he isn t going to be able to see david archuleta,non-target
is ready to go to bed long day tomorrow,non-target
I'm isolating myself because I'm afraid of being rejected.,non-target
I'm avoiding situations that might make me feel vulnerable or exposed.,non-target
I'm losing sleep over things that may never happen.,non-target
I feel like I'm pushing people away with my explosive reactions.,non-target
Trying to find a way to silence the relentless critic in my head.,Anxiety Disorder
"Even when everything's okay, my mind can convince me otherwise.",Anxiety Disorder
I'm always anticipating the next source of anxiety.,Anxiety Disorder
I'm always trying to anticipate and prepare for potential problems.,non-target
"Feeling like I'm on edge, as if any moment could set off intense feelings.",non-target
"Sometimes, the smallest decisions feel like they carry the weight of the world.",Anxiety Disorder
I'm worried that my anxiety is preventing me from reaching my goals.,Anxiety Disorder
I'm avoiding taking risks because of the fear of triggering anxiety.,Anxiety Disorder
Trying to navigate life when my thoughts are a whirlwind of uncertainty.,Anxiety Disorder
It's hard to describe the feeling of being trapped in a cycle of worry.,Anxiety Disorder
"The fear of the unknown can be paralyzing, holding me back from taking action.",Anxiety Disorder
I feel like I can't escape the grip of anxiety.,Anxiety Disorder
Feeling like I'm in a constant tug-of-war between my worries and my desire for peace.,Anxiety Disorder
"Sometimes, the smallest decisions feel like they carry the weight of the world.",non-target
Trying to navigate a world that seems full of potential dangers.,non-target
Trying to navigate a world that seems full of potential dangers.,Anxiety Disorder
I'm struggling to focus on anything due to the constant chatter of my mind.,Anxiety Disorder
I feel like I'm trapped in my own body.,non-target
I'm worried that my anxious thoughts are taking over my life.,Anxiety Disorder
Trying to find a way to stop my thoughts from racing in every direction.,Anxiety Disorder
I feel like I'm suffocating under the weight of my anxiety.,Anxiety Disorder
dang won t be able to get to any workshop run by web direction,non-target
can t sleep i hate these night when i try to go to bed early and stay awake for hour poo,non-target
It's like I'm caught in a loop of 'what-ifs' and worst-case scenarios.,Anxiety Disorder
I feel like I'm tangled up in a web of my own anxious thoughts.,Anxiety Disorder
I'm avoiding situations where I might have to confront my fears.,Anxiety Disorder
Feeling like I'm carrying a weight of concern that's hard to put down.,Anxiety Disorder
Feeling like I'm on a roller coaster of emotions that won't slow down.,non-target
The pressure to avoid missteps can keep me from taking steps forward.,non-target
"I'm dizzy and disoriented, and it's frightening.",non-target
is running on low battery http plurk com p n0blb,non-target
The fear of not being in control can make even routine situations feel daunting.,Anxiety Disorder
I wish I could explain why I feel sad when everything seems fine.,non-target
"The fear of the unknown can be paralyzing, holding me back from taking action.",Anxiety Disorder
"Even on good days, there's a lingering feeling of emptiness.",non-target
"I'm constantly on edge, waiting for the other shoe to drop.",Anxiety Disorder
The pressure to avoid missteps can keep me from taking steps forward.,Anxiety Disorder
It's like I'm carrying a weight of emotions that's hard to put down.,non-target
kourtneykardash i need get my beach bod back,non-target
It's hard to explain the inner storm that can brew within me.,non-target
gillianme yeah he wa,non-target
I'm avoiding triggers even if they seem harmless to others.,non-target
"Even in the safety of my own space, fear can make my heart race.",non-target
"I'm not lazy, but sometimes it's hard to find the motivation to do anything.",non-target
I feel like I'm carrying the weight of the world on my shoulders.,Anxiety Disorder
I feel like I'm stuck in this never-ending sadness.,non-target
wishing i wa home underneath my cover,non-target
"Feeling like I'm walking on a tightrope, always teetering on the edge.",non-target
I'm avoiding situations that make me feel vulnerable.,Anxiety Disorder
I'm constantly comparing myself to others and feeling inadequate.,Anxiety Disorder
I'm avoiding places that remind me of past panic attacks.,non-target
I'm constantly imagining worst-case scenarios.,non-target
I'm avoiding situations that might expose my vulnerabilities.,Anxiety Disorder
"Feeling like I'm constantly on alert, ready for whatever might go wrong.",Anxiety Disorder
"The fear of the unknown can be paralyzing, holding me back from taking action.",non-target
Trying to find a way to silence the critical voice in my head.,Anxiety Disorder
fuck len wein s house caught fire earlier today the family is safe but they lost their dog,non-target
home mc bored missing him who him sigh im bored tadi exam amp wa okay thursday lagi exam gaaaaaaaaaaaaaahhh,non-target
"Feeling like I'm constantly scanning for signs of trouble, even when there's none.",non-target
"Even in moments of calm, my heart can race as if I'm in danger.",non-target
I can't shake off this feeling of impending doom.,non-target
I feel like I'm stuck in a cycle of perpetual worry.,Anxiety Disorder
Feeling like I'm trying to navigate through a world of uncertainty and doubt.,Anxiety Disorder
I'm avoiding situations that challenge my need for control.,Anxiety Disorder
I'm consumed by doubt and uncertainty.,non-target
I'm always questioning whether I'm good enough.,Anxiety Disorder
"Trying to catch my breath, even when I'm not physically running.",non-target
Trying to navigate social situations when emotions can run high.,non-target
I can't seem to quiet the constant 'what if' thoughts.,Anxiety Disorder
"I'm always on high alert, scanning for potential threats.",Anxiety Disorder
The fear of making a mistake can keep me from even trying.,Anxiety Disorder
It's like a knot in my stomach that won't untangle.,Anxiety Disorder
It's like I'm trying to steer a ship through choppy emotional waters.,non-target
I feel like I'm trapped in my own mind with my worries.,Anxiety Disorder
The fear of making a mistake can keep me from even trying.,non-target
Trying to find moments of peace in a mind that's in turmoil.,non-target
I'm struggling to focus on anything other than my worries.,Anxiety Disorder
It's hard when the future feels uncertain and scary.,non-target
I'm terrified of not being able to escape during an attack.,non-target
I'm constantly bracing myself for the worst outcomes.,Anxiety Disorder
I wish I could find the light in the darkness I often feel.,non-target
I'm avoiding situations that trigger my anxiety.,Anxiety Disorder
"I feel like I'm in danger, even when there's no threat.",non-target
"It's like my mind is a theater, playing worst-case scenarios on repeat.",non-target
I'm losing sleep over things that may never happen.,Anxiety Disorder
Feeling like I'm in a constant battle against my own mind.,Anxiety Disorder
I'm struggling to concentrate because of my racing thoughts.,Anxiety Disorder
I feel like I'm held hostage by my own anxious thoughts.,Anxiety Disorder
It's like I'm trying to navigate through a maze of strong emotional reactions.,non-target
"Even in moments of calm, my heart can race as if I'm in danger.",Anxiety Disorder
I feel like I'm in a constant state of fight or flight.,non-target
I'm always trying to anticipate and prepare for potential problems.,Anxiety Disorder
Trying to find a way to silence the critical voice in my head.,Anxiety Disorder
I feel like I'm going to lose control any second.,non-target
"Feeling like I'm standing on the edge of a precipice, afraid to move.",non-target
I feel like I'm constantly walking on eggshells in my own mind.,Anxiety Disorder
"The fear of disappointing others can be overwhelming, even when it's irrational.",Anxiety Disorder
I'm terrified that I'm going to die.,non-target
I'm avoiding triggers even if they seem harmless to others.,Anxiety Disorder
Feeling like I'm carrying a weight of apprehension that's hard to shake.,Anxiety Disorder
one of the hardest thing with this schedule no one i can chat with at the end of my day usually,non-target
The challenge is to find stillness in a mind that's always in motion.,Anxiety Disorder
The sensation of being trapped in a never-ending cycle of fear is intense.,non-target
I'm constantly second-guessing myself and my decisions.,Anxiety Disorder
I'm struggling to find ways to manage my anger without exploding.,non-target
aww sandra cantu is found dead in a suitcase missing child story never seem to go good poor family,non-target
I'm avoiding social interactions to prevent anxious thoughts.,Anxiety Disorder
I feel like my anger is a barrier to intimacy and connection.,non-target
Trying to find moments of stillness when my thoughts are in constant motion.,Anxiety Disorder
I'm constantly bracing myself for the worst outcomes.,non-target
It's like there's a constant storm of worry brewing inside me.,Anxiety Disorder
I can't shake off this feeling of impending doom.,Anxiety Disorder
It's hard to explain the constant tension that resides within me.,Anxiety Disorder
"It's like I'm constantly waiting for the other shoe to drop, even when it doesn't.",Anxiety Disorder
I'm tired of the guilt and shame that come after my anger subsides.,non-target
"Some moments, it feels like the world is crashing down around me.",non-target
I'm tired of the guilt that follows my anger outbursts.,non-target
I'm constantly worried that I'm missing something important.,Anxiety Disorder
i am scheduled to be very productive on a few hr and i still can not sleep insomia ha gotten to me,non-target
"The struggle is real, and finding healthy ways to manage emotions is essential.",non-target
twxtd jordan i wish i could i have to keep my door open for other people that may need me,non-target
I'm consumed by worry about things that are beyond my control.,Anxiety Disorder
"My thoughts can spiral out of control, making everything feel dangerous.",non-target
I'm overwhelmed by the constant chatter of my anxious thoughts.,Anxiety Disorder
"Even in moments of stillness, my thoughts can be a whirlwind of unease.",Anxiety Disorder
The fear of the future can overshadow even the brightest moments.,Anxiety Disorder
I feel like I'm trapped in a never-ending cycle of sadness.,non-target
I feel like I can't escape the grip of anxiety.,non-target
It's hard to explain the rush of adrenaline that surges through me.,non-target
I'm worried that my anger is damaging my self-esteem.,non-target
I'm constantly seeking reassurance from others.,Anxiety Disorder
I'm struggling to find a sense of calm amidst the chaos of my thoughts.,Anxiety Disorder
I'm consumed by doubt and uncertainty.,Anxiety Disorder
Trying to find a way to quiet the inner critic that never seems to rest.,Anxiety Disorder
nobody like leatherhead,non-target
Feeling like I'm navigating through a world of uncertainty and doubt.,Anxiety Disorder
I'm avoiding situations that might trigger my obsessive thoughts.,Anxiety Disorder
The struggle is maintaining emotional balance in the face of triggers.,non-target
Trying to navigate life when my thoughts feel like a maze I can't escape.,Anxiety Disorder
It's like my mind is a magnet for all the potential dangers around me.,Anxiety Disorder
There are times when my body feels like a pressure cooker ready to explode.,non-target
Feeling like I'm trying to navigate through a world of uncertainty and doubt.,non-target
"Even in moments of calm, my heart can race as if I'm in danger.",Anxiety Disorder
I'm avoiding new experiences because they trigger my anxiety.,Anxiety Disorder
nick carter aww nick i like your hair longer why did you cut it off break my heart,non-target
I'm isolating myself to avoid triggering panic.,non-target
Trying to find a way to silence the relentless critic in my head.,non-target
Feeling like I'm constantly trying to stay one step ahead of potential problems.,Anxiety Disorder
Feeling like my emotional responses can be disproportionate at times.,non-target
I'm always preparing for the worst-case scenario.,Anxiety Disorder
I'm worried that my anxiety is holding me back from living my life.,Anxiety Disorder
"I feel so alone, even in a crowd.",non-target
It's hard to describe the feeling of being trapped within myself.,non-target
I'm avoiding things I used to enjoy because of my anxiety.,Anxiety Disorder
I wish I could find a way to channel my anger into something positive.,non-target
sleep til noon i did it wa the only one left but i got tempted and ate it soon a i got home i had a chocolate velvet amp ate d mocha,non-target
The challenge is finding ways to communicate my emotions without overwhelming others.,non-target
Feeling like I'm trapped in a cycle of numbness and pain.,non-target
It's hard to describe the sensation of being trapped in a cycle of worry.,Anxiety Disorder
Trying to find a way to escape the cycle of worry that never seems to end.,Anxiety Disorder
I'm overthinking every little detail and driving myself crazy.,Anxiety Disorder
My anger is like a beast that I can't control.,non-target
I'm desperate to escape the overwhelming fear.,non-target
doe anyone else miss chatting in chat room i do but can t find one i feel comfortable in suggestion please,non-target
"The struggle is real, and finding healthy ways to manage emotions is key.",non-target
The fear of not being in control can make even routine situations feel daunting.,non-target
"Feeling like I'm constantly on edge, as if danger is always lurking.",Anxiety Disorder
I'm having a racing mind full of fearful thoughts.,non-target
I feel like I'm trapped in a prison of anxiety.,Anxiety Disorder
It's like I'm carrying a heavy secret that's eating me up inside.,non-target
I'm experiencing a sense of unreality during an attack.,non-target
"I want to change, but my anger seems uncontrollable.",non-target
I'm worried that people will see through my facade of confidence.,Anxiety Disorder
I'm terrified of making mistakes and facing consequences.,Anxiety Disorder
I feel like I'm drowning in a sea of worries.,Anxiety Disorder
I'm overanalyzing every social interaction.,Anxiety Disorder
"Even when I want to relax, my mind can keep racing as if danger is imminent.",Anxiety Disorder
Trying to find a way to ground myself when my thoughts are all over the place.,Anxiety Disorder
It's like I have a fire inside me that flares up unexpectedly.,non-target
It's hard to describe the restlessness and unease that can take over.,Anxiety Disorder
"Some days, my mind feels like it's racing on a never-ending track.",Anxiety Disorder
I'm constantly worrying about things that haven't even happened.,Anxiety Disorder
My anger feels like a heavy weight that I can't shake off.,non-target
"The fear can grip me suddenly, making every second feel like an eternity.",non-target
"The fear of making a mistake can be paralyzing, leaving me frozen in place.",Anxiety Disorder
Feeling like my mind is a radio tuned to worst-case scenarios.,Anxiety Disorder
The pressure to make the right decisions can feel suffocating at times.,non-target
on the train sans guardian,non-target
I'm struggling to find a moment of peace from my anxiety.,Anxiety Disorder
smarrison i would ve been the first but i didn t have a gun not really though zac snyder s just a doucheclown,non-target
I wish I could find a way to communicate without resorting to anger.,non-target
Feeling like I'm constantly carrying a backpack of worries everywhere I go.,Anxiety Disorder
"Even when everything seems fine, my mind can conjure up doubts and fears.",Anxiety Disorder
I'm avoiding new experiences because they trigger my anxiety.,non-target
"The weight of sadness can be overwhelming, even on seemingly good days.",non-target
now i want amanita someone made me feel unliving,non-target
"The struggle is real, even when I manage to keep moving forward.",non-target
The fear of judgment can keep me from expressing my true self.,non-target
I feel like I'm trapped in a cycle of anxiety.,Anxiety Disorder
I'm struggling to sleep because my mind won't stop racing.,Anxiety Disorder
I'm avoiding situations that might lead to a panic episode.,non-target
"Even when I don't want to react strongly, my emotions can surge unexpectedly.",non-target
Trying to navigate life when my thoughts feel like a maze I can't escape.,Anxiety Disorder
I'm worried that my anxiety is holding me back from living my life.,non-target
fadyanwar it sad cause that wa the last gsm company owned by egyptian also orascom wa inforced to sell it share to fc,non-target
"The loneliness can be suffocating, even in a room full of people.",non-target
Feeling like I'm constantly walking on a tightrope of emotional intensity.,non-target
Trying to find a way to ground myself when my thoughts are scattered.,Anxiety Disorder
"I'm always looking for signs of danger, even in safe situations.",Anxiety Disorder
I'm avoiding situations that might make me feel out of control.,Anxiety Disorder
I'm always anticipating the worst outcomes in any situation.,Anxiety Disorder
Trying to quiet the chaos in my mind when everything feels overwhelming.,Anxiety Disorder
I'm worried about embarrassing myself in front of others.,non-target
Feeling like I'm walking through a world of uncertainty without a map.,Anxiety Disorder
all work and no play doe not a happy linda make can t wait for the holiday,non-target
"It's like my mind is a theater, playing out potential dangers on repeat.",Anxiety Disorder
Trying to find small moments of joy amidst the overall struggle.,non-target
"The fear of making mistakes can be paralyzing, keeping me from trying.",Anxiety Disorder
I'm always waiting for the next shoe to drop.,Anxiety Disorder
Trying to find outlets for emotional energy that won't cause harm.,non-target
It's hard to explain the surge of panic that can strike at any moment.,Anxiety Disorder
